기간,국가,수출 건수,수출 금액,수입 건수,수입 금액,무역수지
"총계","",24338466,1315835312,96350930,1274339335,41495977
"2023","중국",1226149,124817682,11052332,142857338,-18039655
"2023","미국",2268240,115696334,19563779,71272030,44424304
"2023","베트남",704190,53479535,1585250,25941782,27537753
"2023","일본",1803264,29000616,3088999,47656468,-18655852
"2023","홍콩",242375,25193553,965490,1831871,23361682
"2023","대만",416069,20178766,254232,24370640,-4191874
"2023","싱가포르",587206,18751990,243806,11178605,7573385
"2023","인도",222885,17949602,170351,6728362,11221240
"2023","호주",204383,17791354,588448,32822955,-15031601
"2023","멕시코",211084,12221993,94857,7630719,4591274
"2023","독일",204190,10317121,2651632,23611170,-13294049
"2023","말레이시아",387352,9760076,146428,15237142,-5477067
"2023","인도네시아",167207,9140239,118337,12145901,-3005662
"2023","폴란드",74963,9021926,30292,1103577,7918349
"2023","필리핀",398818,9008624,80313,4645089,4363535
"2023","튀르키예",115579,8988419,49912,1438599,7549820
"2023","캐나다",238445,8434491,391189,6194625,2239867
"2023","태국",217101,7548179,590323,7366589,181590
"2023","네덜란드",113875,6855567,81647,8061948,-1206381
"2023","헝가리",31497,6787435,23111,828869,5958566
"2023","러시아 연방",91631,6133435,18510,8891986,-2758551
"2023","영국",150083,5958440,343246,5147813,810627
"2023","마샬군도",370,5919899,148,508,5919390
"2023","프랑스",86493,5510047,289521,8065561,-2555514
"2023","사우디아라비아",45992,5324700,5594,32762549,-27437849
"2023","벨기에",30212,5024979,42333,1944251,3080728
"2023","이탈리아",72357,5015821,494119,8330534,-3314713
"2023","아랍에미리트 연합",95329,4432061,6856,16422761,-11990701
"2023","브라질",92517,4343795,25923,6724277,-2380483
"2023","라이베리아",723,4034086,494,6856,4027230
"2023","스페인",59236,3336623,101914,2491014,845609
"2023","체코공화국",33817,3116805,41844,1290195,1826611
"2023","슬로바키아",20015,2975721,21983,929431,2046290
"2023","뉴질랜드",39016,2856250,400254,1740477,1115773
"2023","우즈베키스탄",21504,2369872,729,90299,2279573
"2023","카자흐스탄",41119,1968393,606,3568112,-1599720
"2023","이스라엘",28997,1913666,20801,1542813,370853
"2023","방글라데시",26656,1625988,18824,648872,977116
"2023","슬로베니아",9253,1396508,4628,122808,1273701
"2023","스웨덴",19610,1386710,41997,2098577,-711867
"2023","이집트",62323,1334901,3417,630378,704523
"2023","칠레",28398,1246374,17912,7572012,-6325637
"2023","이라크",10108,1195974,665,7899268,-6703294
"2023","키르기스스탄",48163,1171715,341,2221,1169494
"2023","스위스",25900,1124687,55183,3235614,-2110927
"2023","포루투갈",12266,1098967,68349,607422,491544
"2023","파나마",12414,1087489,1089,329359,758130
"2023","토고",1446,1031295,269,55863,975432
"2023","그리스",14022,1030255,5395,918382,111873
"2023","오스트리아",29691,1027243,40701,1916298,-889055
"2023","파키스탄",14848,918504,8244,257411,661093
"2023","몰타",4157,899376,2110,297754,601621
"2023","남아프리카공화국",20404,883855,9858,3489441,-2605586
"2023","아일랜드",11195,804549,17456,1456639,-652090
"2023","콜롬비아",15562,773878,13480,1068108,-294230
"2023","에쿠아도르",5799,768652,1881,196087,572565
"2023","카타르",10304,764249,2094,14998929,-14234681
"2023","요르단",20308,758796,1174,62652,696144
"2023","미얀마",10300,697716,10244,542054,155662
"2023","덴마크",16135,690986,31845,1019994,-329008
"2023","페루",13928,688867,10334,2936508,-2247642
"2023","푸에르토리코",4396,626492,1814,460465,166027
"2023","나이지리아",10973,603027,846,1027725,-424698
"2023","캄보디아",20114,575088,12427,477216,97872
"2023","리비아",122055,572190,204,46283,525907
"2023","쿠웨이트",7665,558443,552,9658962,-9100519
"2023","루마니아",14568,528461,44722,972482,-444020
"2023","오만",6253,503185,1018,5365275,-4862090
"2023","몽골",30599,476439,13645,62790,413649
"2023","앙골라",2582,474761,17,11,474751
"2023","노르웨이",9287,464594,25790,1363639,-899044
"2023","아르헨티나",10098,445475,5347,1628343,-1182868
"2023","핀란드",9666,396134,13897,995637,-599502
"2023","모로코",4564,392260,5433,177800,214460
"2023","괌",6392,377096,537,5030,372066
"2023","우크라이나",9415,374510,2805,649468,-274958
"2023","리투아니아",6181,372434,8533,102173,270261
"2023","과테말라",12369,328927,3495,130701,198226
"2023","도미니카 공화국",7074,327266,1725,148685,178581
"2023","탄자니아",3856,308448,416,68305,240143
"2023","알제리",2676,284136,287,3152860,-2868724
"2023","코스타리카",9878,281850,5583,157679,124171
"2023","세르비아",3816,270150,2732,122300,147851
"2023","케냐",3753,269981,1132,53434,216547
"2023","아제르바이잔",13539,243840,57,2974,240866
"2023","코트디봐르",2215,216600,118,6685,209915
"2023","스리랑카",8382,210666,5664,118488,92178
"2023","영령 캐이맨 군도",134,209061,15,12,209049
"2023","지브랄타",197,208010,9,7,208003
"2023","피지",1018,206168,144,3858,202310
"2023","엘살바도르",3233,198422,1510,61084,137337
"2023","불가리아",6807,196063,17621,358350,-162287
"2023","조지아",9259,193770,909,12724,181045
"2023","콩고민주공화국",674,184419,397,716966,-532547
"2023","파푸아 뉴기니",837,183562,461,1033739,-850177
"2023","이란",2532,183314,169,3723,179591
"2023","가나",7948,180896,408,29171,151724
"2023","온두라스",5743,163528,1891,71858,91670
"2023","바레인",3576,153834,725,499422,-345587
"2023","바하마",464,151052,44,313,150738
"2023","알바니아",9241,142311,1706,11053,131258
"2023","튀니지",1954,140298,9024,462593,-322296
"2023","우루과이",2372,136700,951,149167,-12467
"2023","크로아티아",2349,117739,1690,94498,23240
"2023","타지크",22217,115013,58,174,114839
"2023","세네갈",5574,111741,541,44462,67279
"2023","파라과이",1978,108756,527,134706,-25951
"2023","에스토니아",4055,101251,3738,73791,27460
"2023","라오스",1988,101193,2387,92891,8302
"2023","모잠비크",976,94364,197,763873,-669509
"2023","맨섬",1,90680,10,209,90471
"2023","레바논",2432,89553,684,33080,56473
"2023","니카라과",2046,83556,576,48472,35084
